instance,base,only loop,only revisit,both
uniform-alpha_3-57-n10-novisit-20-rep_9.txt,195.466,189.092 (3.26%),192.825 (1.35%),189.092 (3.26%)
uniform-alpha_3-57-n10-novisit-30-rep_3.txt,212.224,208.374 (1.81%),210.752 (0.69%),208.374 (1.81%)
uniform-alpha_3-57-n10-novisit-30-rep_7.txt,195.466,189.092 (3.26%),194.395 (0.55%),189.092 (3.26%)
uniform-alpha_3-57-n10-novisit-40-rep_3.txt,216.525,216.525 (0%),211.574 (2.29%),211.574 (2.29%)
uniform-alpha_3-57-n10-novisit-50-rep_8.txt,186.924,186.924 (0%),183.722 (1.71%),183.722 (1.71%)
uniform-alpha_3-57-n10-novisit-60-rep_5.txt,186.924,186.924 (0%),183.722 (1.71%),183.722 (1.71%)
uniform-alpha_3-57-n10-novisit-70-rep_8.txt,216.594,216.594 (0%),211.643 (2.29%),211.643 (2.29%)
uniform-alpha_3-58-n10-novisit-10-rep_10.txt,198.463,185.636 (6.46%),186.833 (5.86%),185.636 (6.46%)
uniform-alpha_3-58-n10-novisit-10-rep_1.txt,198.463,185.636 (6.46%),186.833 (5.86%),185.636 (6.46%)
uniform-alpha_3-58-n10-novisit-10-rep_5.txt,198.463,185.636 (6.46%),186.833 (5.86%),185.636 (6.46%)
uniform-alpha_3-58-n10-novisit-10-rep_6.txt,198.463,185.636 (6.46%),186.833 (5.86%),185.636 (6.46%)
uniform-alpha_3-58-n10-novisit-10-rep_7.txt,198.463,185.636 (6.46%),186.833 (5.86%),185.636 (6.46%)
uniform-alpha_3-58-n10-novisit-10-rep_8.txt,198.463,185.636 (6.46%),186.833 (5.86%),185.636 (6.46%)
uniform-alpha_3-58-n10-novisit-10-rep_9.txt,198.463,193.629 (2.44%),198.463 (0%),193.629 (2.44%)
uniform-alpha_3-58-n10-novisit-20-rep_1.txt,198.463,185.636 (6.46%),186.833 (5.86%),185.636 (6.46%)
uniform-alpha_3-58-n10-novisit-20-rep_2.txt,198.463,193.629 (2.44%),198.463 (0%),193.629 (2.44%)
uniform-alpha_3-58-n10-novisit-20-rep_4.txt,198.463,193.629 (2.44%),198.463 (0%),193.629 (2.44%)
uniform-alpha_3-58-n10-novisit-30-rep_7.txt,201.274,185.636 (7.77%),186.833 (7.17%),185.636 (7.77%)
uniform-alpha_3-58-n10-novisit-30-rep_8.txt,204.443,202.631 (0.89%),204.443 (0%),202.631 (0.89%)
uniform-alpha_3-58-n10-novisit-30-rep_9.txt,208.63,202.998 (2.7%),208.63 (0%),202.998 (2.7%)
uniform-alpha_3-58-n10-novisit-40-rep_1.txt,220.811,220.811 (0%),219.344 (0.66%),219.344 (0.66%)
uniform-alpha_3-59-n10-novisit-10-rep_10.txt,195.228,189.789 (2.79%),195.228 (0%),189.789 (2.79%)
uniform-alpha_3-59-n10-novisit-10-rep_1.txt,195.228,189.789 (2.79%),195.228 (0%),189.789 (2.79%)
uniform-alpha_3-59-n10-novisit-10-rep_2.txt,195.228,189.789 (2.79%),195.228 (0%),189.789 (2.79%)
uniform-alpha_3-59-n10-novisit-10-rep_3.txt,195.228,189.789 (2.79%),195.228 (0%),189.789 (2.79%)
uniform-alpha_3-59-n10-novisit-10-rep_4.txt,195.228,193.87 (0.7%),195.228 (0%),193.87 (0.7%)
uniform-alpha_3-59-n10-novisit-10-rep_6.txt,195.228,189.789 (2.79%),195.228 (0%),189.789 (2.79%)
uniform-alpha_3-59-n10-novisit-10-rep_7.txt,195.228,189.789 (2.79%),195.228 (0%),189.789 (2.79%)
uniform-alpha_3-59-n10-novisit-10-rep_8.txt,195.228,189.789 (2.79%),195.228 (0%),189.789 (2.79%)
uniform-alpha_3-59-n10-novisit-10-rep_9.txt,195.228,189.789 (2.79%),195.228 (0%),189.789 (2.79%)
uniform-alpha_3-59-n10-novisit-20-rep_10.txt,200.144,199.985 (0.08%),200.144 (0%),199.985 (0.08%)
uniform-alpha_3-59-n10-novisit-20-rep_3.txt,200.144,199.985 (0.08%),200.144 (0%),199.985 (0.08%)
uniform-alpha_3-59-n10-novisit-20-rep_9.txt,200.144,199.985 (0.08%),200.144 (0%),199.985 (0.08%)
uniform-alpha_3-59-n10-novisit-40-rep_4.txt,206.16,205.343 (0.4%),206.16 (0%),205.343 (0.4%)
uniform-alpha_3-59-n10-novisit-60-rep_10.txt,270.958,270.935 (0.01%),270.958 (0%),270.935 (0.01%)
uniform-alpha_3-60-n10-novisit-10-rep_10.txt,216.73,203.254 (6.22%),215.456 (0.59%),203.254 (6.22%)
uniform-alpha_3-60-n10-novisit-10-rep_1.txt,219.778,203.254 (7.52%),215.456 (1.97%),203.254 (7.52%)
uniform-alpha_3-60-n10-novisit-10-rep_3.txt,219.778,203.254 (7.52%),215.456 (1.97%),203.254 (7.52%)
uniform-alpha_3-60-n10-novisit-10-rep_4.txt,216.73,216.73 (0%),207.139 (4.43%),207.139 (4.43%)
uniform-alpha_3-60-n10-novisit-10-rep_5.txt,216.73,203.254 (6.22%),215.456 (0.59%),203.254 (6.22%)
uniform-alpha_3-60-n10-novisit-10-rep_6.txt,216.73,203.254 (6.22%),215.456 (0.59%),203.254 (6.22%)
uniform-alpha_3-60-n10-novisit-10-rep_7.txt,216.73,203.254 (6.22%),207.139 (4.43%),203.254 (6.22%)
uniform-alpha_3-60-n10-novisit-10-rep_8.txt,216.73,203.254 (6.22%),207.139 (4.43%),203.254 (6.22%)
uniform-alpha_3-60-n10-novisit-10-rep_9.txt,219.778,203.254 (7.52%),215.456 (1.97%),203.254 (7.52%)
uniform-alpha_3-60-n10-novisit-20-rep_2.txt,219.778,203.254 (7.52%),219.778 (0%),203.254 (7.52%)
uniform-alpha_3-60-n10-novisit-20-rep_3.txt,216.776,212.207 (2.11%),215.456 (0.61%),212.207 (2.11%)
uniform-alpha_3-60-n10-novisit-20-rep_6.txt,234.188,234.188 (0%),223.158 (4.71%),223.158 (4.71%)
uniform-alpha_3-60-n10-novisit-50-rep_2.txt,222.031,220.029 (0.9%),222.031 (0%),220.029 (0.9%)
